% Moku:Pro Data Logger
% Input A
% Input B
% Input C
% Input D
% Acquisition rate: 5.0000000000e+05 Hz, Normal mode, trigger: Input B, level: 10.00 mV
% Output A (off) - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output B (off) - Ramp, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %
% Internal 10 MHz clock
% Acquired 2025-01-16 T 01:36:54 +1100
% Time (s), Input A (V), Input B (V), Input C (V), Input D (V)
0.0000000000e+00, 0.0000000000e+00, -1.0950042009e+00, 0.0000000000e+00, 0.0000000000e+00
2.0000000000e-06, 0.0000000000e+00, -1.0950042009e+00, 0.0000000000e+00, 0.0000000000e+00
4.0000000000e-06, 0.0000000000e+00, -1.0950042009e+00, 0.0000000000e+00, 0.0000000000e+00
6.0000000000e-06, 0.0000000000e+00, -1.0950042009e+00, 0.0000000000e+00, 0.0000000000e+00
8.0000000000e-06, -9.9298247775e-01, 1.0949707841e+00, 0.0000000000e+00, 0.0000000000e+00
1.0000000000e-05, -9.9562241097e-01, 1.0949707841e+00, 0.0000000000e+00, 0.0000000000e+00
1.2000000000e-05, -9.9769425730e-01, 1.0949707841e+00, 0.0000000000e+00, 0.0000000000e+00
1.4000000000e-05, -9.9909776610e-01, 1.0949707841e+00, 0.0000000000e+00, 0.0000000000e+00
1.6000000000e-05, -9.9983293738e-01, 1.0949707841e+00, 0.0000000000e+00, 0.0000000000e+00
1.8000000000e-05, -9.9989977113e-01, 1.0949707841e+00, 0.0000000000e+00, 0.0000000000e+00
2.0000000000e-05, -9.9929826736e-01, 1.0949707841e+00, 0.0000000000e+00, 0.0000000000e+00
2.2000000000e-05, -9.9796159231e-01, 1.0949707841e+00, 0.0000000000e+00, 0.0000000000e+00
2.4000000000e-05, -9.9592316286e-01, 1.0949707841e+00, 0.0000000000e+00, 0.0000000000e+00
2.6000000000e-05, -9.9311614525e-01, 1.0949707841e+00, 0.0000000000e+00, 0.0000000000e+00
2.8000000000e-05, -9.8954053949e-01, 1.0949707841e+00, 0.0000000000e+00, 0.0000000000e+00
3.0000000000e-05, -9.8519634558e-01, 1.0949707841e+00, 0.0000000000e+00, 0.0000000000e+00
3.2000000000e-05, -9.8008356351e-01, 1.0949707841e+00, 0.0000000000e+00, 0.0000000000e+00
